receive 4 signal | time now: 1.5341424942016602 | total fee now: 6
receive 5 signal | time now: 1.7550506591796875 | total fee now: 6
receive 5 signal | time now: 1.977959394454956 | total fee now: 6
receive 5 signal | time now: 2.307431221008301 | total fee now: 6
receive 6 signal | time now: 2.5286478996276855 | total fee now: 6
receive 7 signal | time now: 2.751081943511963 | total fee now: 6
receive 7 signal | time now: 2.9678308963775635 | total fee now: 6
receive 7 signal | time now: 3.2951793670654297 | total fee now: 6
receive 8 signal | time now: 3.5144340991973877 | total fee now: 6
receive 9 signal | time now: 3.842393636703491 | total fee now: 6
receive 9 signal | time now: 4.060994386672974 | total fee now: 6
receive 9 signal | time now: 4.281855821609497 | total fee now: 6
receive 10 signal | time now: 4.498624324798584 | total fee now: 6
receive 11 signal | time now: 4.8252272605896 | total fee now: 20
receive 11 signal | time now: 5.0436177253723145 | total fee now: 20
receive 11 signal | time now: 5.26250433921814 | total fee now: 20
receive 12 signal | time now: 5.588726997375488 | total fee now: 20
receive 13 signal | time now: 5.810975790023804 | total fee now: 20
receive 13 signal | time now: 6.027286529541016 | total fee now: 20
receive 13 signal | time now: 6.245724201202393 | total fee now: 20
receive 14 signal | time now: 6.574070692062378 | total fee now: 20
receive 15 signal | time now: 6.79524040222168 | total fee now: 20
receive 15 signal | time now: 7.013350248336792 | total fee now: 20
receive 15 signal | time now: 7.340109825134277 | total fee now: 20
receive 16 signal | time now: 7.563133716583252 | total fee now: 20
receive 17 signal | time now: 7.786628246307373 | total fee now: 20
receive 17 signal | time now: 8.006241798400879 | total fee now: 20
receive 18 signal | time now: 8.33603286743164 | total fee now: 37
receive 19 signal | time now: 8.557276725769043 | total fee now: 37
receive 19 signal | time now: 8.776900053024292 | total fee now: 37
receive 19 signal | time now: 9.107803583145142 | total fee now: 37
receive 20 signal | time now: 9.330997705459595 | total fee now: 37
receive 21 signal | time now: 9.550195693969727 | total fee now: 37
receive 21 signal | time now: 9.771048784255981 | total fee now: 37
receive 21 signal | time now: 10.100279092788696 | total fee now: 37
receive 22 signal | time now: 10.321064710617065 | total fee now: 37
receive 23 signal | time now: 10.541064262390137 | total fee now: 37
receive 23 signal | time now: 10.872406721115112 | total fee now: 37
receive 24 signal | time now: 11.090378522872925 | total fee now: 37
receive 25 signal | time now: 11.313209056854248 | total fee now: 37
receive 25 signal | time now: 11.5292227268219 | total fee now: 37
receive 25 signal | time now: 11.858623743057251 | total fee now: 54
receive 26 signal | time now: 12.078415870666504 | total fee now: 54
receive 27 signal | time now: 12.298280477523804 | total fee now: 54
receive 27 signal | time now: 12.626237392425537 | total fee now: 54
receive 28 signal | time now: 12.846674919128418 | total fee now: 54
receive 29 signal | time now: 13.066014289855957 | total fee now: 54
receive 29 signal | time now: 13.283216714859009 | total fee now: 54
1657175870.0614746-----1657175883.671946------13.610471487045288
timeArray: [0.0, 0.2154698371887207, 0.5407986640930176, 0.7607231140136719, 0.9828836917877197, 1.3110136985778809, 1.5341424942016602, 1.7550506591796875, 1.977959394454956, 2.307431221008301, 2.5286478996276855, 2.7500765323638916, 2.9678308963775635, 3.2951793670654297, 3.5144340991973877, 3.842393636703491, 4.060994386672974, 4.281855821609497, 4.498624324798584, 4.8252272605896, 5.0436177253723145, 5.26250433921814, 5.588726997375488, 5.810975790023804, 6.027286529541016, 6.245724201202393, 6.574070692062378, 6.79524040222168, 7.013350248336792, 7.340109825134277, 7.563133716583252, 7.785629749298096, 8.006241798400879, 8.33603286743164, 8.557276725769043, 8.776900053024292, 9.107803583145142, 9.330997705459595, 9.550195693969727, 9.771048784255981, 10.100279092788696, 10.321064710617065, 10.541064262390137, 10.872406721115112, 11.090378522872925, 11.31221604347229, 11.5292227268219, 11.858623743057251, 12.078415870666504, 12.298280477523804, 12.626237392425537, 12.846674919128418, 13.065106391906738, 13.283216714859009]
lenArray: [0, 0, 1, 2, 3, 3, 4, 5, 5, 5, 6, 7, 7, 7, 8, 9, 9, 9, 10, 11, 11, 11, 12, 13, 13, 13, 14, 15, 15, 15, 16, 17, 17, 18, 19, 19, 19, 20, 21, 21, 21, 22, 23, 23, 24, 25, 25, 25, 26, 27, 27, 28, 29, 29]
======================================
receive 0 signal | time now: 0.0007886886596679688 | total fee now: 2
receive 0 signal | time now: 0.327284574508667 | total fee now: 2
receive 0 signal | time now: 0.5450811386108398 | total fee now: 2
receive 0 signal | time now: 0.7623856067657471 | total fee now: 2
receive 0 signal | time now: 0.9806394577026367 | total fee now: 2
receive 0 signal | time now: 1.3064401149749756 | total fee now: 2
receive 0 signal | time now: 1.5229952335357666 | total fee now: 2
receive 0 signal | time now: 1.7403950691223145 | total fee now: 2
receive 0 signal | time now: 2.0683858394622803 | total fee now: 2
receive 0 signal | time now: 2.2876107692718506 | total fee now: 2
receive 0 signal | time now: 2.6154327392578125 | total fee now: 2
receive 0 signal | time now: 2.8324522972106934 | total fee now: 2
receive 0 signal | time now: 3.051586627960205 | total fee now: 2
receive 0 signal | time now: 3.269193172454834 | total fee now: 2
receive 0 signal | time now: 3.488842725753784 | total fee now: 2
receive 0 signal | time now: 3.8167011737823486 | total fee now: 2
receive 0 signal | time now: 4.143409967422485 | total fee now: 2
receive 0 signal | time now: 4.361733436584473 | total fee now: 2
receive 0 signal | time now: 4.5791730880737305 | total fee now: 2
receive 0 signal | time now: 4.798109531402588 | total fee now: 2
receive 0 signal | time now: 5.124976873397827 | total fee now: 2
receive 0 signal | time now: 5.343075752258301 | total fee now: 2
receive 0 signal | time now: 5.561268329620361 | total fee now: 2
receive 0 signal | time now: 5.778682708740234 | total fee now: 7
receive 0 signal | time now: 6.106917142868042 | total fee now: 7
receive 0 signal | time now: 6.325543642044067 | total fee now: 7
receive 0 signal | time now: 6.541178464889526 | total fee now: 7
receive 0 signal | time now: 6.868165969848633 | total fee now: 7
receive 0 signal | time now: 7.087144136428833 | total fee now: 7
receive 0 signal | time now: 7.303464412689209 | total fee now: 7
receive 0 signal | time now: 7.6309287548065186 | total fee now: 7
receive 0 signal | time now: 7.84992241859436 | total fee now: 7
receive 0 signal | time now: 8.06759762763977 | total fee now: 7
receive 0 signal | time now: 8.28691840171814 | total fee now: 7
receive 0 signal | time now: 8.614099979400635 | total fee now: 7
receive 0 signal | time now: 8.834986925125122 | total fee now: 7
receive 0 signal | time now: 9.052488088607788 | total fee now: 7
receive 0 signal | time now: 9.37731671333313 | total fee now: 7
receive 0 signal | time now: 9.592962980270386 | total fee now: 7
receive 0 signal | time now: 9.922220230102539 | total fee now: 7
receive 1 signal | time now: 10.139029264450073 | total fee now: 7
receive 2 signal | time now: 10.357749938964844 | total fee now: 7
receive 3 signal | time now: 10.685271263122559 | total fee now: 7
receive 4 signal | time now: 10.903188943862915 | total fee now: 7
